order_id,product_id,quantity,unit_price,line_total
3086,25,4,6.89,27.56
3086,31,3,6.62,19.86
23845,12,1,6.64,6.64
23845,23,3,4.55,13.65
23845,28,2,7.37,14.74
23845,32,5,3.05,15.25
34562,10,4,9.07,36.28
34562,13,5,5.80,29.00
38729,7,5,1.92,9.60
38729,15,1,5.78,5.78
41273,21,1,4.46,4.46
41273,34,3,5.51,16.53
47880,6,3,0.96,2.88
47880,10,5,9.07,45.35
47880,15,2,5.78,11.56
47880,25,1,6.89,6.89
47880,31,2,6.62,13.24
53899,8,4,3.30,13.20
53899,13,1,5.80,5.80
53899,18,3,9.45,28.35
53899,32,5,3.05,15.25
53899,33,2,2.00,4.00
60079,12,5,6.64,33.20
60079,13,5,5.80,29.00
60079,21,4,4.46,17.84
60079,24,5,6.00,30.00
60079,32,3,3.05,9.15
65873,4,5,3.41,17.05
65873,13,1,5.80,5.80
65873,25,4,6.89,27.56
65873,27,1,8.49,8.49
66305,5,1,1.92,1.92
66305,6,5,0.96,4.80
66305,20,3,9.90,29.70
66305,29,3,1.31,3.93
82086,9,5,1.13,5.65
82086,19,4,8.89,35.56
82086,22,4,0.94,3.76
82086,29,1,1.31,1.31
88062,2,0,0.94,0.00
88062,6,1,0.96,0.96
88062,34,5,5.51,27.55
98321,20,4,9.90,39.60
98321,22,4,0.94,3.76
98321,26,2,9.32,18.64
101533,5,3,1.92,5.76
101533,12,2,6.64,13.28
101533,17,3,3.71,11.13
101533,18,1,9.45,9.45
101533,29,2,1.31,2.62
103260,5,3,1.92,5.76
103260,20,4,9.90,39.60
103260,29,3,1.31,3.93
103260,33,2,2.00,4.00
127616,10,4,9.07,36.28
127616,16,2,5.68,11.36
127616,17,5,3.71,18.55
133593,10,1,9.07,9.07
133593,23,2,4.55,9.10
133804,6,2,0.96,1.92
136236,5,5,1.92,9.60
148948,18,5,9.45,47.25
148948,34,4,5.51,22.04
151768,3,3,4.42,13.26
151768,7,3,1.92,5.76
151768,18,1,9.45,9.45
151768,27,1,8.49,8.49
151768,36,4,2.86,11.44
155737,3,5,4.42,22.10
155737,13,2,5.80,11.60
155737,16,2,5.68,11.36
155737,31,1,6.62,6.62
163415,5,1,1.92,1.92
175312,4,4,3.41,13.64
175312,14,1,8.60,8.60
175312,21,5,4.46,22.30
175312,30,4,2.70,10.80
175312,36,2,2.86,5.72
179534,5,5,1.92,9.60
179534,25,5,6.89,34.45
197294,12,2,6.64,13.28
197294,25,4,6.89,27.56
205711,2,4,0.94,3.76
205711,25,3,6.89,20.67
213221,29,1,1.31,1.31
213221,31,2,6.62,13.24
215167,3,3,4.42,13.26
215167,6,1,0.96,0.96
215167,8,1,3.30,3.30
215167,9,1,1.13,1.13
215167,17,4,3.71,14.84
216282,14,4,8.60,34.40
235950,20,3,9.90,29.70
240575,5,2,1.92,3.84
240575,24,3,6.00,18.00
240575,33,2,2.00,4.00
241564,2,3,0.94,2.82
241564,6,5,0.96,4.80
241564,18,4,9.45,37.80
241564,25,2,6.89,13.78
241564,28,4,7.37,29.48
247952,6,2,0.96,1.92
247952,14,3,8.60,25.80
247952,33,5,2.00,10.00
287198,10,4,9.07,36.28
287198,14,2,8.60,17.20
287198,17,4,3.71,14.84
293862,4,4,3.41,13.64
293862,5,1,1.92,1.92
297119,3,2,4.42,8.84
