order_id,order_datetime,customer_id,total_amount,num_items
3086,2024-02-07T07:08:01.237711,26,47.42,2
23845,2024-02-03T23:42:36.354354,18,50.28,4
34562,2024-02-08T07:00:14.428438,17,65.28,2
38729,2024-02-04T18:40:21.403188,30,15.38,2
41273,2024-02-03T01:00:42.431583,22,20.99,2
47880,2024-02-03T02:20:13.144821,1,79.92,5
53899,2024-02-09T06:56:48.729398,24,66.60,5
60079,2024-02-09T16:51:58.887224,28,119.19,5
65873,2024-02-08T19:26:39.313272,17,58.90,4
66305,2024-02-10T21:50:01.170424,30,40.35,4
82086,2024-02-05T05:20:48.014315,20,46.28,4
88062,2024-02-10T23:58:27.705775,18,28.51,3
98321,2024-02-05T12:57:24.227424,6,62.00,3
101533,2024-02-05T20:10:57.780016,19,42.24,5
103260,2024-02-01T11:26:20.025483,2,53.29,4
127616,2024-02-03T20:19:09.749680,23,66.19,3
133593,2024-02-03T07:52:16.396355,9,18.17,2
133804,2024-02-10T23:43:02.202206,2,1.92,1
136236,2024-02-09T07:07:18.237400,8,9.60,1
148948,2024-02-08T19:52:47.769937,7,69.29,2
151768,2024-02-04T12:35:26.396486,28,48.40,5
155737,2024-02-04T00:17:02.007924,22,51.68,4
163415,2024-02-01T23:01:11.023698,15,1.92,1
175312,2024-02-09T00:47:28.203380,19,61.06,5
179534,2024-02-08T09:39:53.244287,17,44.05,2
197294,2024-02-10T00:13:50.061660,24,40.84,2
205711,2024-02-02T06:06:44.170982,9,24.43,2
213221,2024-02-09T02:42:18.254594,16,14.55,2
215167,2024-02-05T22:27:12.250526,28,33.49,5
216282,2024-02-06T06:44:45.107515,10,34.40,1
235950,2024-02-09T05:26:51.050937,14,29.70,1
240575,2024-02-05T16:38:49.705942,7,25.84,3
241564,2024-02-08T11:43:09.513020,9,88.68,5
247952,2024-02-03T03:45:59.661707,17,37.72,3
287198,2024-02-03T11:47:09.801049,30,68.32,3
293862,2024-02-09T20:01:17.809519,23,15.56,2
297119,2024-02-01T03:13:08.854246,25,104.65,5
308528,2024-02-09T09:10:25.733306,29,26.48,1
328164,2024-02-08T04:23:34.357149,9,16.66,3
345928,2024-02-03T00:42:19.205611,2,89.16,4
355013,2024-02-10T18:53:57.017423,21,47.62,3
361808,2024-02-03T12:05:44.590553,15,40.45,3
368746,2024-02-06T09:32:22.376420,18,35.66,3
387005,2024-02-05T10:22:41.980413,20,45.55,2
392504,2024-02-05T07:57:59.532057,8,64.38,3
399542,2024-02-03T21:54:32.689366,30,92.33,4
413700,2024-02-08T05:34:20.746714,29,118.46,5
418729,2024-02-06T18:58:21.943116,23,33.93,2
420061,2024-02-08T23:33:17.435771,5,2.26,1
428789,2024-02-05T03:05:51.039573,8,86.01,5
428960,2024-02-10T09:30:15.864581,9,29.70,1
430047,2024-02-05T13:20:03.868383,29,53.24,3
440309,2024-02-09T17:06:44.504338,26,18.14,1
461088,2024-02-08T11:54:02.716399,25,0.94,1
464164,2024-02-09T19:45:52.503620,8,48.33,4
477758,2024-02-03T09:00:56.443346,12,40.07,4
484103,2024-02-09T07:35:39.300488,18,82.54,3
485791,2024-02-03T04:21:30.201087,16,55.24,4
508531,2024-02-08T22:13:28.116436,30,8.58,1
512772,2024-02-08T22:27:52.883831,4,97.71,4
522802,2024-02-08T17:08:13.240794,27,44.83,3
524314,2024-02-06T11:02:38.867178,10,22.62,2
539276,2024-02-08T07:34:01.030777,20,108.87,4
545770,2024-02-08T09:12:52.299588,10,40.25,2
547927,2024-02-09T04:10:54.668092,21,33.05,5
553384,2024-02-06T16:28:19.619348,24,29.96,2
567264,2024-02-05T09:06:24.452258,29,82.21,4
570726,2024-02-01T14:37:25.478370,26,33.86,3
571196,2024-02-10T07:11:57.601148,1,26.65,4
600773,2024-02-03T23:57:23.216644,10,55.40,2
612069,2024-02-08T23:55:06.375323,17,100.34,5
635792,2024-02-08T08:19:56.190974,8,88.62,4
647491,2024-02-07T09:50:10.712487,3,23.58,3
651375,2024-02-02T02:23:09.104434,13,106.21,5
664507,2024-02-01T08:17:03.715142,2,68.76,5
695679,2024-02-03T05:56:09.341902,5,2.86,1
696956,2024-02-04T19:48:54.127927,14,15.00,3
734601,2024-02-09T21:43:57.064852,25,20.08,3
736758,2024-02-04T20:11:09.948435,18,50.68,2
743723,2024-02-03T00:27:40.260555,7,38.99,4
752259,2024-02-10T02:11:49.537675,20,62.19,3
755492,2024-02-09T10:26:34.498739,13,53.44,3
761394,2024-02-04T15:12:56.776392,3,51.18,2
775579,2024-02-08T01:59:11.462443,18,113.35,3
785620,2024-02-01T06:21:46.453470,18,40.64,3
792643,2024-02-09T19:37:39.500504,9,67.37,4
794559,2024-02-09T06:58:00.196964,7,77.23,4
796619,2024-02-03T07:39:09.059176,18,25.80,1
801090,2024-02-02T02:44:41.764098,15,36.79,4
814856,2024-02-09T08:52:15.716938,24,2.07,2
823445,2024-02-03T07:22:09.113565,7,41.74,4
837507,2024-02-05T06:24:37.305298,4,50.29,3
837558,2024-02-05T09:29:40.884749,11,79.27,4
843197,2024-02-08T09:33:32.566678,1,33.22,3
845411,2024-02-09T13:39:49.465280,21,13.24,1
873301,2024-02-05T09:37:53.623906,24,22.30,1
887034,2024-02-09T15:05:57.692091,19,58.03,4
908226,2024-02-05T22:22:35.922121,29,11.44,1
934436,2024-02-08T00:09:44.392658,12,30.74,5
940170,2024-02-03T00:13:39.620494,19,33.38,2
950752,2024-02-08T10:42:05.597862,10,37.43,3
970154,2024-02-04T23:14:35.300821,29,44.44,4
